row_id,review
amazon-0343,A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!
amazon-0936,"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls."
amazon-0067,"A week later after I activated it, it suddenly died."
amazon-0698,It doesn't make you look cool.
amazon-0861,Last time buying from you.
amazon-0632,"I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!"
amazon-0904,I love being able to use one headset for both by land-line and cell.
amazon-0855,Comfortable in my hand.
amazon-0494,I had Verizon 2 years ago and really liked their service.
amazon-0614,I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.
imdb-0670,Then the film just dropped the ball.
imdb-0539,there is no real plot.
imdb-0885,This is probably one of the least effective and utterly unoriginal films I have ever seen in my entire life.
imdb-0095,The only suspense I was feeling was the frustration at just how retarded the girls were.
imdb-0227,"He can bore you to pieces, and kill the momentum of a movie, quicker than anyone else."
imdb-0533,"steve martin delivers a really funny performance of a middle-aged, upper class, uptight white guy."
imdb-0019,"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces."
imdb-0497,This movie is a good and humorous comment on life in 2006.
imdb-0215,"Ray Charles' life provided excellent biographical material for the film, which goes well beyond being just another movie about a musician."
imdb-0512,The cast is good.
yelp-0258,I as well would've given godfathers zero stars if possible.
yelp-0981,"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list."
yelp-0488,I dont think I will be back for a very long time.
yelp-0975,"Your servers suck, wait, correction, our server Heimer sucked."
yelp-0040,Service sucks.
yelp-0497,The pancake was also really good and pretty large at that.
yelp-0789,"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff."
yelp-0471,"Very good, though!"
yelp-0310,I did not expect this to be so good!
yelp-0390,Def coming back to bowl next time
